src_ip,Label,distinct_sources,days_seen,total_incidents,unique_dst_ip,src_port_zero_count,src_port_nonzero_count,src_port_zero_avg_inter_arrival_time,src_port_zero_min_inter_arrival_time,src_port_zero_max_inter_arrival_time,src_port_zero_stddev_inter_arrival_time,src_port_nonzero_avg_inter_arrival_time,src_port_nonzero_min_inter_arrival_time,src_port_nonzero_max_inter_arrival_time,src_port_nonzero_stddev_inter_arrival_time
109.123.233.138,Spoofed,2,4,34,7,27,7,10979.03846,0.0,56963.0,17004.71362,26359.66667,65.0,76653.0,26815.27849
66.42.99.190,Spoofed,2,5,1017,5,1015,2,316.4467456,0.0,48001.0,1934.366564,6815.0,6815.0,6815.0,0.0
23.82.136.14,Spoofed,2,4,1044,5,1039,5,309.1445087,0.0,48237.0,1921.983634,34648.75,49.0,83820.0,31776.72954
195.63.155.247,Spoofed,2,4,28,5,25,3,12527.83333,362.0,87399.0,23907.14252,63717.5,27383.0,100052.0,36334.5
213.255.226.243,Spoofed,2,5,1079,4,1075,4,298.3594041,0.0,48471.0,1897.497641,85240.33333,20224.0,197963.0,80019.61722
128.31.0.61,Spoofed,2,4,1032,6,1029,3,312.7752918,0.0,47997.0,1940.068624,26417.5,11147.0,41688.0,15270.5
128.0.64.148,Spoofed,2,5,1066,7,1057,9,304.0530303,0.0,47771.0,1897.803193,32462.75,164.0,210295.0,68163.67698
78.46.162.123,Spoofed,2,6,819,7,766,53,419.7163399,0.0,47966.0,2250.603067,10029.94231,0.0,178493.0,35994.47299
150.230.20.28,Spoofed,2,4,826,5,823,3,389.9391727,0.0,48853.0,2186.819091,52817.0,17685.0,87949.0,35132.0
204.8.96.167,Spoofed,2,4,2885,6,2880,5,111.6554359,0.0,48007.0,1156.914879,28214.75,693.0,80402.0,32282.6712
172.245.106.179,Spoofed,2,4,760,5,758,2,424.1122853,0.0,48823.0,2330.530933,9300.0,9300.0,9300.0,0.0
188.166.87.136,Spoofed,2,5,864,6,860,4,373.4144354,0.0,48713.0,2129.778416,83431.0,10779.0,176105.0,68962.94624
198.244.234.213,Spoofed,2,5,1991,7,1981,10,162.2378788,0.0,48047.0,1401.232483,38592.77778,908.0,201451.0,61427.45601
178.7.118.122,Spoofed,2,5,32,6,24,8,10588.95652,0.0,101748.0,22342.21189,47838.42857,945.0,184083.0,62118.76511
209.205.204.202,Spoofed,2,5,1082,7,1079,3,297.5853432,0.0,48708.0,1893.601318,115828.5,48631.0,183026.0,67197.5
140.78.100.39,Spoofed,2,4,1071,5,1063,8,302.5546139,0.0,48670.0,1908.195086,21796.71429,354.0,81054.0,26165.41693
185.177.206.66,Spoofed,2,5,43,7,33,10,9187.0625,0.0,62770.0,14798.78566,29113.88889,1.0,252881.0,79129.0163
89.164.239.160,Spoofed,2,4,27,6,23,4,13989.13636,150.0,101465.0,26891.43772,50199.0,29458.0,79529.0,21324.5469
65.21.246.132,Spoofed,2,5,871,7,821,50,391.6926829,0.0,48471.0,2177.615271,8976.306122,0.0,374751.0,53038.07508
152.70.175.13,Spoofed,2,4,778,6,773,5,415.876943,0.0,47965.0,2252.942449,18331.75,2177.0,55189.0,21413.1782
185.225.226.182,Spoofed,2,4,32,6,27,5,11768.73077,0.0,95355.0,23997.32537,15157.0,173.0,52287.0,21635.73428
95.217.72.151,Spoofed,2,6,863,7,824,39,390.0194411,0.0,48202.0,2163.472193,11576.60526,0.0,199581.0,42730.12856
45.33.124.98,Spoofed,2,4,1329,6,1325,4,241.8240181,0.0,49310.0,1730.767334,24432.33333,11780.0,34116.0,9357.134901
35.154.241.132,Spoofed,2,4,1467,4,1466,1,219.3003413,0.0,48542.0,1639.289999,,,,
163.172.11.88,Spoofed,2,5,872,6,869,3,369.937788,0.0,47967.0,2106.321045,109810.5,912.0,218709.0,108898.5
193.218.118.189,Spoofed,2,4,27,6,24,3,12420.43478,0.0,96284.0,21335.93576,26261.5,20395.0,32128.0,5866.5
91.213.233.138,Spoofed,2,4,1029,6,1024,5,313.2111437,0.0,48254.0,1947.870626,32220.0,12442.0,80520.0,28042.81302
